model_name,method,delta_gd,delta_gp,delta_cb,delta_cov
GPT-5-mini,BASE,-0.1835,0.1835,-0.07774999999999997,-0.9095
Qwen3-4B,BASE,-0.27825,0.27824999999999994,-0.06275000000000003,-0.6399999999999999
Qwen3-4B,DAPO,0.06799999999999999,-0.06799999999999995,-0.13750000000000004,-0.20299999999999999
Qwen3-4B,DPO,0.07924999999999999,-0.07924999999999999,-0.13675000000000004,-0.02375000000000002
Qwen3-4B,PARA,0.07100000000000001,-0.07099999999999995,-0.13650000000000004,-0.11775
Qwen3-4B,SFT,0.060249999999999984,-0.06024999999999994,-0.13824999999999996,-0.10749999999999998
Qwen3-8B,BASE,-0.28650000000000003,0.28650000000000003,-0.045749999999999985,-0.58125
Qwen3-8B,DAPO,0.07775000000000001,-0.07774999999999996,-0.13249999999999995,-0.11600000000000002
Qwen3-8B,DPO,0.07450000000000001,-0.07449999999999996,-0.12899999999999995,-0.061
Qwen3-8B,PARA,0.05899999999999999,-0.05899999999999994,-0.12100000000000005,-0.11224999999999999
Qwen3-8B,SFT,0.062,-0.061999999999999944,-0.12549999999999994,-0.11049999999999999
